Fecha,Turno,Máquina,Planificado,Fabricado,Defectuosos,TiempoParada_min
2023-01-01,Mañana,Línea-1,98,84,5,7
2023-01-01,Mañana,Línea-2,130,122,12,20
2023-01-01,Mañana,Línea-3,111,109,0,29
2023-01-01,Mañana,Línea-4,93,78,2,15
2023-01-01,Mañana,Línea-5,111,110,1,49
2023-01-01,Tarde,Línea-1,125,117,2,37
2023-01-01,Tarde,Línea-2,115,110,5,24
2023-01-01,Tarde,Línea-3,143,136,12,3
2023-01-01,Tarde,Línea-4,148,146,3,44
2023-01-01,Tarde,Línea-5,113,101,1,3
2023-01-01,Noche,Línea-1,113,107,3,7
2023-01-01,Noche,Línea-2,133,118,10,21
2023-01-01,Noche,Línea-3,124,112,6,8
2023-01-01,Noche,Línea-4,109,104,9,16
2023-01-01,Noche,Línea-5,87,72,1,7
2023-01-02,Mañana,Línea-1,103,94,8,25
2023-01-02,Mañana,Línea-2,120,106,7,2
2023-01-02,Mañana,Línea-3,150,149,0,10
2023-01-02,Mañana,Línea-4,132,127,11,44
2023-01-02,Mañana,Línea-5,124,120,4,34
2023-01-02,Tarde,Línea-1,136,130,0,7
2023-01-02,Tarde,Línea-2,103,95,0,6
2023-01-02,Tarde,Línea-3,102,89,0,49
2023-01-02,Tarde,Línea-4,96,85,2,16
2023-01-02,Tarde,Línea-5,80,79,0,18
2023-01-02,Noche,Línea-1,91,81,6,51
2023-01-02,Noche,Línea-2,106,96,0,30
2023-01-02,Noche,Línea-3,150,149,9,18
2023-01-02,Noche,Línea-4,119,119,9,8
2023-01-02,Noche,Línea-5,143,138,10,41
2023-01-03,Mañana,Línea-1,123,116,4,11
2023-01-03,Mañana,Línea-2,81,70,3,35
2023-01-03,Mañana,Línea-3,83,74,1,2
2023-01-03,Mañana,Línea-4,110,95,3,53
2023-01-03,Mañana,Línea-5,111,100,5,24
2023-01-03,Tarde,Línea-1,131,117,6,52
2023-01-03,Tarde,Línea-2,137,125,10,10
2023-01-03,Tarde,Línea-3,105,96,5,35
2023-01-03,Tarde,Línea-4,82,79,1,47
2023-01-03,Tarde,Línea-5,126,124,6,41
2023-01-03,Noche,Línea-1,118,118,8,51
2023-01-03,Noche,Línea-2,84,79,6,19
2023-01-03,Noche,Línea-3,116,102,9,37
2023-01-03,Noche,Línea-4,140,137,0,26
2023-01-03,Noche,Línea-5,104,99,6,27
2023-01-04,Mañana,Línea-1,127,115,1,40
2023-01-04,Mañana,Línea-2,139,135,2,17
2023-01-04,Mañana,Línea-3,109,97,9,32
2023-01-04,Mañana,Línea-4,99,88,2,34
2023-01-04,Mañana,Línea-5,149,145,10,42
2023-01-04,Tarde,Línea-1,92,85,5,7
2023-01-04,Tarde,Línea-2,118,116,4,32
2023-01-04,Tarde,Línea-3,150,135,8,15
2023-01-04,Tarde,Línea-4,139,130,0,41
2023-01-04,Tarde,Línea-5,138,131,1,35
2023-01-04,Noche,Línea-1,128,121,10,3
2023-01-04,Noche,Línea-2,93,85,8,23
2023-01-04,Noche,Línea-3,100,88,3,8
2023-01-04,Noche,Línea-4,124,122,0,9
2023-01-04,Noche,Línea-5,93,86,7,29
2023-01-05,Mañana,Línea-1,108,104,3,34
2023-01-05,Mañana,Línea-2,117,102,7,39
2023-01-05,Mañana,Línea-3,130,122,3,36
2023-01-05,Mañana,Línea-4,147,144,4,59
2023-01-05,Mañana,Línea-5,128,117,7,54
2023-01-05,Tarde,Línea-1,87,74,0,23
2023-01-05,Tarde,Línea-2,120,105,1,38
2023-01-05,Tarde,Línea-3,92,84,7,20
2023-01-05,Tarde,Línea-4,107,92,4,19
2023-01-05,Tarde,Línea-5,150,139,9,6
2023-01-05,Noche,Línea-1,120,110,1,24
2023-01-05,Noche,Línea-2,115,105,7,35
2023-01-05,Noche,Línea-3,108,96,5,14
2023-01-05,Noche,Línea-4,131,122,3,49
2023-01-05,Noche,Línea-5,88,82,3,60
2023-01-06,Mañana,Línea-1,91,88,4,27
2023-01-06,Mañana,Línea-2,124,117,6,53
2023-01-06,Mañana,Línea-3,94,82,5,43
2023-01-06,Mañana,Línea-4,91,90,8,19
2023-01-06,Mañana,Línea-5,118,116,3,5
2023-01-06,Tarde,Línea-1,132,117,8,57
2023-01-06,Tarde,Línea-2,142,135,3,28
2023-01-06,Tarde,Línea-3,105,98,8,47
2023-01-06,Tarde,Línea-4,144,131,12,34
2023-01-06,Tarde,Línea-5,136,129,5,37
2023-01-06,Noche,Línea-1,90,79,0,40
2023-01-06,Noche,Línea-2,80,74,7,29
2023-01-06,Noche,Línea-3,110,100,5,7
2023-01-06,Noche,Línea-4,120,105,5,27
2023-01-06,Noche,Línea-5,97,90,4,11
2023-01-07,Mañana,Línea-1,90,75,4,14
2023-01-07,Mañana,Línea-2,120,114,11,50
2023-01-07,Mañana,Línea-3,119,107,5,3
2023-01-07,Mañana,Línea-4,121,111,3,39
2023-01-07,Mañana,Línea-5,106,98,2,46
2023-01-07,Tarde,Línea-1,110,100,6,36
2023-01-07,Tarde,Línea-2,95,92,7,56
2023-01-07,Tarde,Línea-3,86,83,4,35
2023-01-07,Tarde,Línea-4,107,99,2,17
2023-01-07,Tarde,Línea-5,106,103,2,13
2023-01-07,Noche,Línea-1,132,122,8,27
2023-01-07,Noche,Línea-2,99,91,4,41
2023-01-07,Noche,Línea-3,87,75,2,53
2023-01-07,Noche,Línea-4,147,145,3,53
2023-01-07,Noche,Línea-5,83,81,8,43
2023-01-08,Mañana,Línea-1,148,134,2,57
